valid_time,latitude,longitude,number,expver,temperature
2016-04-30 00:00:00,56.849999999999994,-111.45000000000003,0,0001,292.42303
2016-04-30 00:00:00,56.849999999999994,-111.35000000000004,0,0001,292.30402
2016-04-30 00:00:00,56.849999999999994,-111.25000000000004,0,0001,291.86035
2016-04-30 00:00:00,56.849999999999994,-111.15000000000005,0,0001,291.54926
2016-04-30 00:00:00,56.849999999999994,-111.05000000000005,0,0001,291.31848
2016-04-30 00:00:00,56.849999999999994,-110.95000000000006,0,0001,291.22388
2016-04-30 00:00:00,56.849999999999994,-110.85000000000007,0,0001,291.1819
2016-04-30 00:00:00,56.849999999999994,-110.75,0,0001,291.18384
2016-04-30 00:00:00,56.74999999999999,-112.05,0,0001,291.35272
2016-04-30 00:00:00,56.74999999999999,-111.95,0,0001,291.2444
2016-04-30 00:00:00,56.74999999999999,-111.85000000000001,0,0001,291.2951
2016-04-30 00:00:00,56.74999999999999,-111.75000000000001,0,0001,291.51898
2016-04-30 00:00:00,56.74999999999999,-111.65000000000002,0,0001,291.81836
2016-04-30 00:00:00,56.74999999999999,-111.55000000000003,0,0001,292.22406
2016-04-30 00:00:00,56.74999999999999,-111.45000000000003,0,0001,292.40448
2016-04-30 00:00:00,56.74999999999999,-111.35000000000004,0,0001,292.28534
2016-04-30 00:00:00,56.74999999999999,-111.25000000000004,0,0001,292.15857
2016-04-30 00:00:00,56.74999999999999,-111.15000000000005,0,0001,291.8468
2016-04-30 00:00:00,56.74999999999999,-111.05000000000005,0,0001,291.6703
2016-04-30 00:00:00,56.74999999999999,-110.95000000000006,0,0001,291.57538
2016-04-30 00:00:00,56.74999999999999,-110.85000000000007,0,0001,291.46906
2016-04-30 00:00:00,56.74999999999999,-110.75,0,0001,291.4709
2016-04-30 00:00:00,56.64999999999999,-112.05,0,0001,291.39777
2016-04-30 00:00:00,56.64999999999999,-111.95,0,0001,291.4992
2016-04-30 00:00:00,56.64999999999999,-111.85000000000001,0,0001,291.5501
2016-04-30 00:00:00,56.64999999999999,-111.75000000000001,0,0001,291.7315
2016-04-30 00:00:00,56.64999999999999,-111.65000000000002,0,0001,292.03162
2016-04-30 00:00:00,56.64999999999999,-111.55000000000003,0,0001,292.21008
2016-04-30 00:00:00,56.64999999999999,-111.45000000000003,0,0001,292.3908
2016-04-30 00:00:00,56.64999999999999,-111.35000000000004,0,0001,292.36743
2016-04-30 00:00:00,56.64999999999999,-111.25000000000004,0,0001,292.24042
