valid_time,t2m_celsius,reported_temperature
2016-04-30 00:00:00,18.776093,19.0
2016-04-30 01:00:00,18.172943,18.0
2016-04-30 02:00:00,16.204926,16.0
2016-04-30 03:00:00,13.81723,14.0
2016-04-30 04:00:00,12.180878,12.0
2016-04-30 05:00:00,11.12558,11.0
2016-04-30 06:00:00,10.279877,10.0
2016-04-30 07:00:00,10.509125,11.0
2016-04-30 08:00:00,9.72525,10.0
2016-04-30 09:00:00,9.025665,9.0
2016-04-30 10:00:00,8.3194275,8.0
2016-04-30 11:00:00,7.8161316,8.0
2016-04-30 12:00:00,7.335724,7.0
2016-04-30 13:00:00,7.782196,8.0
2016-04-30 14:00:00,9.916229,10.0
2016-04-30 15:00:00,12.5289,13.0
2016-04-30 16:00:00,14.694733,15.0
2016-04-30 17:00:00,16.476227,16.0
2016-04-30 18:00:00,17.312775,17.0
2016-04-30 19:00:00,17.58731,18.0
2016-04-30 20:00:00,17.225128,17.0
2016-04-30 21:00:00,17.211517,17.0
2016-04-30 22:00:00,17.683624,18.0
2016-04-30 23:00:00,17.896759,18.0
2016-05-01 00:00:00,17.69809,18.0
2016-05-01 01:00:00,17.125153,17.0
2016-05-01 02:00:00,15.692352,16.0
2016-05-01 03:00:00,13.340607,13.0
2016-05-01 04:00:00,11.701813,12.0
2016-05-01 05:00:00,10.391754,10.0
2016-05-01 06:00:00,9.126495,9.0
2016-05-01 07:00:00,7.7085266,8.0
2016-05-01 08:00:00,6.856903,7.0
2016-05-01 09:00:00,6.087738,6.0
2016-05-01 10:00:00,5.374237,5.0
2016-05-01 11:00:00,4.7276917,5.0
2016-05-01 12:00:00,4.1974792,4.0
2016-05-01 13:00:00,4.875763,5.0
2016-05-01 14:00:00,7.5160217,8.0
2016-05-01 15:00:00,10.632721,11.0
2016-05-01 16:00:00,13.553925,14.0
2016-05-01 17:00:00,16.137115,16.0
2016-05-01 18:00:00,18.201874,18.0
2016-05-01 19:00:00,19.888214,20.0
2016-05-01 20:00:00,21.01596,22.0
2016-05-01 21:00:00,21.899261,22.0
2016-05-01 22:00:00,22.512054,22.0
2016-05-01 23:00:00,22.897858,22.0
2016-05-02 00:00:00,22.89804,22.0
2016-05-02 01:00:00,22.215118,22.0
2016-05-02 02:00:00,20.543793,20.0
2016-05-02 03:00:00,17.877655,18.0
2016-05-02 04:00:00,15.341583,15.0
2016-05-02 05:00:00,13.690094,14.0
2016-05-02 06:00:00,12.441071,12.0
2016-05-02 07:00:00,11.641754,12.0
2016-05-02 08:00:00,10.499115,10.0
2016-05-02 09:00:00,9.673492,10.0
2016-05-02 10:00:00,8.743866,9.0
2016-05-02 11:00:00,7.7413635,8.0
2016-05-02 12:00:00,7.1373596,7.0
2016-05-02 13:00:00,8.269012,8.0
2016-05-02 14:00:00,11.524872,12.0
2016-05-02 15:00:00,15.408356,15.0
2016-05-02 16:00:00,18.197815,18.0
2016-05-02 17:00:00,20.516052,20.0
2016-05-02 18:00:00,22.31784,22.0
2016-05-02 19:00:00,24.061005,24.0
2016-05-02 20:00:00,25.138275,26.0
2016-05-02 21:00:00,25.945953,26.0
2016-05-02 22:00:00,26.444061,26.0
2016-05-02 23:00:00,26.64914,26.0
2016-05-03 00:00:00,26.51712,26.0
2016-05-03 01:00:00,25.554718,26.0
2016-05-03 02:00:00,22.988434,22.0
2016-05-03 03:00:00,20.291046,20.0
2016-05-03 04:00:00,18.435516,18.0
2016-05-03 05:00:00,17.25473,17.0
2016-05-03 06:00:00,16.12381,16.0
2016-05-03 07:00:00,15.958221,16.0
2016-05-03 08:00:00,14.871429,15.0
2016-05-03 09:00:00,13.755157,14.0
2016-05-03 10:00:00,12.726776,13.0
2016-05-03 11:00:00,11.812347,12.0
2016-05-03 12:00:00,11.121368,11.0
2016-05-03 13:00:00,11.422272,11.0
2016-05-03 14:00:00,13.465973,13.0
2016-05-03 15:00:00,16.661774,17.0
2016-05-03 16:00:00,19.054413,19.0
2016-05-03 17:00:00,21.448578,22.0
2016-05-03 18:00:00,23.777557,24.0
2016-05-03 19:00:00,25.948639,26.0
2016-05-03 20:00:00,27.563202,28.0
2016-05-03 21:00:00,28.730804,28.0
2016-05-03 22:00:00,29.29068,30.0
2016-05-03 23:00:00,29.357208,30.0
