valid_time,t2m_celsius,reported_temperature
2016-04-30 00:00:00,18.81137,19.0
2016-04-30 01:00:00,18.21701,18.0
2016-04-30 02:00:00,16.235321,16.0
2016-04-30 03:00:00,13.789032,14.0
2016-04-30 04:00:00,12.261078,12.0
2016-04-30 05:00:00,11.245819,11.0
2016-04-30 06:00:00,10.374725,10.0
2016-04-30 07:00:00,10.567902,11.0
2016-04-30 08:00:00,9.77243,10.0
2016-04-30 09:00:00,9.044586,9.0
2016-04-30 10:00:00,8.320892,8.0
2016-04-30 11:00:00,7.751251,8.0
2016-04-30 12:00:00,7.1977234,7.0
2016-04-30 13:00:00,7.594391,8.0
2016-04-30 14:00:00,10.109833,10.0
2016-04-30 15:00:00,12.766327,13.0
2016-04-30 16:00:00,14.904816,15.0
2016-04-30 17:00:00,16.537872,17.0
2016-04-30 18:00:00,17.257233,17.0
2016-04-30 19:00:00,17.634308,18.0
2016-04-30 20:00:00,17.269196,17.0
2016-04-30 21:00:00,17.218536,17.0
2016-04-30 22:00:00,17.656403,18.0
2016-04-30 23:00:00,17.781647,18.0
2016-05-01 00:00:00,17.557587,18.0
2016-05-01 01:00:00,16.948517,17.0
2016-05-01 02:00:00,15.488312,15.0
2016-05-01 03:00:00,13.29483,13.0
2016-05-01 04:00:00,11.799591,12.0
2016-05-01 05:00:00,10.662384,11.0
2016-05-01 06:00:00,9.537811,10.0
2016-05-01 07:00:00,8.283905,8.0
2016-05-01 08:00:00,7.3454895,7.0
2016-05-01 09:00:00,6.4738464,6.0
2016-05-01 10:00:00,5.627594,6.0
2016-05-01 11:00:00,4.851227,5.0
2016-05-01 12:00:00,4.2137146,4.0
2016-05-01 13:00:00,4.8127747,5.0
2016-05-01 14:00:00,7.672394,8.0
2016-05-01 15:00:00,10.735382,11.0
2016-05-01 16:00:00,13.649811,14.0
2016-05-01 17:00:00,16.234955,16.0
2016-05-01 18:00:00,18.267365,18.0
2016-05-01 19:00:00,19.932281,20.0
2016-05-01 20:00:00,21.031708,22.0
2016-05-01 21:00:00,21.878815,22.0
2016-05-01 22:00:00,22.457489,22.0
2016-05-01 23:00:00,22.809113,22.0
2016-05-02 00:00:00,22.779999,22.0
2016-05-02 01:00:00,22.120514,22.0
2016-05-02 02:00:00,20.539093,20.0
2016-05-02 03:00:00,18.2294,18.0
2016-05-02 04:00:00,16.024323,16.0
2016-05-02 05:00:00,14.386505,14.0
2016-05-02 06:00:00,13.033051,13.0
2016-05-02 07:00:00,11.825653,12.0
2016-05-02 08:00:00,11.356842,11.0
2016-05-02 09:00:00,10.791962,11.0
2016-05-02 10:00:00,9.066376,9.0
2016-05-02 11:00:00,7.8353577,8.0
2016-05-02 12:00:00,7.5681458,8.0
2016-05-02 13:00:00,8.43692,8.0
2016-05-02 14:00:00,11.583618,12.0
2016-05-02 15:00:00,15.2883,15.0
2016-05-02 16:00:00,18.184174,18.0
2016-05-02 17:00:00,20.598145,20.0
2016-05-02 18:00:00,22.434174,22.0
2016-05-02 19:00:00,24.192963,24.0
2016-05-02 20:00:00,25.266266,26.0
2016-05-02 21:00:00,26.05838,26.0
2016-05-02 22:00:00,26.538849,26.0
2016-05-02 23:00:00,26.730316,26.0
2016-05-03 00:00:00,26.56894,26.0
2016-05-03 01:00:00,25.590912,26.0
2016-05-03 02:00:00,23.033417,24.0
2016-05-03 03:00:00,20.269684,20.0
2016-05-03 04:00:00,18.410187,18.0
2016-05-03 05:00:00,17.20401,17.0
2016-05-03 06:00:00,16.027252,16.0
2016-05-03 07:00:00,16.030548,16.0
2016-05-03 08:00:00,14.900787,15.0
2016-05-03 09:00:00,13.778656,14.0
2016-05-03 10:00:00,12.747406,13.0
2016-05-03 11:00:00,11.820282,12.0
2016-05-03 12:00:00,11.128326,11.0
2016-05-03 13:00:00,11.553253,12.0
2016-05-03 14:00:00,13.726776,14.0
2016-05-03 15:00:00,16.8591,17.0
2016-05-03 16:00:00,19.306488,19.0
2016-05-03 17:00:00,21.706512,22.0
2016-05-03 18:00:00,24.014984,24.0
2016-05-03 19:00:00,26.223175,26.0
2016-05-03 20:00:00,27.783966,28.0
2016-05-03 21:00:00,28.977997,28.0
2016-05-03 22:00:00,29.500763,30.0
2016-05-03 23:00:00,29.496002,30.0
